Work item ID,Work type,Parent,Summary,Description,Priority,Status,Story Points,Labels,Sprint
120,Story,5,PB-020 Tres reglas explicables de alerta,"Detectar riesgos mediante tres reglas comprensibles y auditables.",Highest,To Do,8,sprint-4,Sprint 4
121,Story,5,PB-021 Bandeja y dashboard inicial de alertas,"Mostrar alertas priorizadas y un resumen accionable.",Highest,To Do,8,sprint-4,Sprint 4
122,Story,5,PB-022 Entrega de avance Fase 2,"Preparar y presentar la evidencia del avance de desarrollo.",Highest,To Do,5,sprint-4,Sprint 4
123,Story,6,PB-023 Casos de seguimiento,"Crear y gestionar casos derivados de alertas escolares.",Highest,To Do,8,sprint-5,Sprint 5
124,Story,6,PB-024 Ficha integral del estudiante,"Consolidar información académica y de seguimiento autorizada.",Highest,To Do,8,sprint-5,Sprint 5
125,Story,6,PB-025 Notificaciones,"Informar eventos relevantes a usuarios autorizados.",Medium,To Do,5,sprint-5,Sprint 5
126,Story,7,PB-026 Indicadores agregados,"Mostrar indicadores académicos y de seguimiento sin exponer datos indebidos.",Medium,To Do,8,sprint-6,Sprint 6
127,Story,7,PB-027 Exportación de reportes,"Exportar reportes autorizados para análisis y respaldo.",Low,To Do,5,sprint-6,Sprint 6
128,Story,7,PB-028 Auditoría de cambios sensibles,"Registrar quién cambió datos sensibles, cuándo y qué cambió.",Highest,To Do,8,sprint-6,Sprint 6
129,Story,8,PB-029 Pruebas integrales seguridad y rendimiento,"Verificar flujos críticos, permisos y comportamiento bajo carga definida.",Highest,To Do,8,sprint-6,Sprint 6
130,Story,8,PB-030 Manual técnico y despliegue,"Documentar instalación, configuración, operación y recuperación.",Highest,To Do,5,sprint-7,Sprint 7
131,Story,8,PB-031 Manual de usuario,"Explicar las operaciones principales por rol con ejemplos.",Medium,To Do,5,sprint-7,Sprint 7
132,Story,8,PB-032 Innovación y propuesta de valor,"Demostrar el valor diferencial y la viabilidad de SIGAA.",Highest,To Do,3,sprint-7,Sprint 7
133,Story,8,PB-033 Entrega final Fase 2,"Consolidar producto, documentación y evidencias de la fase.",Highest,To Do,8,sprint-7,Sprint 7
134,Story,8,PB-034 Defensa y retrospectiva del proyecto,"Preparar defensa, responder observaciones y registrar aprendizajes.",Highest,To Do,5,release-final,Release final
135,Story,2,PB-035 Corregir dominio universitario a escolar,"Validar que lenguaje, modelo y experiencia correspondan a liceos y colegios.",Highest,In Progress,8,sprint-1,Sprint 1
136,Story,4,PB-036 Gestión de apoderados,"Gestionar apoderados y su vínculo autorizado con estudiantes.",Highest,To Do,5,sprint-3,Sprint 3
137,Story,5,PB-037 Justificaciones por Inspectoría,"Registrar, revisar y resolver justificaciones de inasistencia.",Highest,To Do,5,sprint-4,Sprint 4
138,Story,4,PB-038 Modelo docente,"Permitir cursos asignados, clases, asistencia, notas y anotaciones.",Highest,In Progress,13,sprint-1,Sprint 1
139,Story,4,PB-039 Modelo estudiante,"Mostrar asignaturas, notas, asistencia, calendario y anotaciones visibles.",Highest,In Progress,13,sprint-1,Sprint 1
140,Story,3,PB-040 Docker de equipo y aislamiento de servidor,"Permitir uso del sistema sin entregar acceso directo al servidor ni a PostgreSQL.",Highest,In Progress,8,sprint-1,Sprint 1
201,Sub-task,111,SIGAA-011A Almacenar contraseñas con hash,"Implementar hash seguro y comprobar que ninguna contraseña quede en texto plano.",Highest,To Do,,owner-joel,Sprint 3
202,Sub-task,111,SIGAA-011B Implementar sesión revocable y expirable,"Crear sesión segura, expiración y cierre de sesión con pruebas.",Highest,To Do,,owner-joel,Sprint 3
203,Sub-task,111,SIGAA-011C Probar errores de autenticación,"Cubrir credenciales inválidas y respuesta genérica sin filtrar información.",High,To Do,,revision-cruzada,Sprint 3
204,Sub-task,112,SIGAA-012A Definir matriz de permisos,"Documentar operaciones permitidas para profesor y estudiante.",Highest,To Do,,owner-agustin,Sprint 3
205,Sub-task,112,SIGAA-012B Aplicar permisos en API,"Bloquear rutas fuera del rol y alcance del usuario.",Highest,To Do,,owner-agustin,Sprint 3
206,Sub-task,112,SIGAA-012C Probar accesos permitidos y denegados,"Automatizar casos 200, 401 y 403 para ambos roles.",Highest,To Do,,revision-cruzada,Sprint 3
207,Sub-task,115,SIGAA-015A Implementar repositorio PostgreSQL de estudiantes,"Crear lectura y escritura persistente sin datos simulados.",Highest,To Do,,owner-matias,Sprint 3
208,Sub-task,115,SIGAA-015B Validar identificador y duplicados,"Rechazar datos incompletos o duplicados con mensajes controlados.",High,To Do,,owner-matias,Sprint 3
209,Sub-task,115,SIGAA-015C Probar persistencia después de reinicio,"Comprobar que los registros sobreviven al reinicio de la API.",Highest,To Do,,revision-cruzada,Sprint 3
210,Sub-task,116,SIGAA-016A Implementar reglas de matrícula,"Validar curso, periodo, estado y duplicidad activa.",Highest,To Do,,owner-equipo,Sprint 3
211,Sub-task,116,SIGAA-016B Integrar matrícula en API e interfaz,"Conectar formulario, endpoint y persistencia PostgreSQL.",Highest,To Do,,owner-equipo,Sprint 3
212,Sub-task,116,SIGAA-016C Probar y documentar matrícula,"Cubrir éxito, duplicidad y consulta tras reinicio; adjuntar evidencia.",High,To Do,,owner-equipo,Sprint 3
